"","id","class","new_classes","representative","Number_of_CDS","Number_of_exons","intron_in_UTR","overlaps"
"6997","maker_00171629_RA",3,"3","YES",1,2,"yes","no"
"1816","maker_00170614_RA",6,"6","YES",4,4,"no","no"
"1716","maker_00170404_RB",3,"3","YES",3,3,"no","no"
"5130","mikado.Super_Scaffold_1000004G603.1",5,"5F","YES",1,1,"no","no"
"3225","maker_00173804_RA",5,"5A","YES",4,4,"no","yes"
"1560","maker_00169954_RA",6,"6","YES",5,5,"no","no"
"6114","maker_00169501_RA",4,"4","YES",1,1,"no","no"
"3557","maker_00174432_RC",4,"4","NO",4,4,"no","yes"
"6350","maker_00170156_RA",6,"6","YES",2,2,"no","no"
"8084","mikado.Super_Scaffold_1000004G4078.1",6,"6","YES",1,1,"no","no"
"6164","maker_00169681_RA",6,"6","YES",3,3,"no","no"
"1037","maker_00168698_RA",6,"6","YES",1,1,"no","no"
"3146","maker_00173688_RG",3,"3","NO",8,9,"yes","no"
"4231","maker_00175750_RA",5,"5C","YES",3,3,"no","no"
"5991","maker_00169250_RI",3,"3","NO",31,31,"no","no"
"2359","maker_00172004_RA",5,"5C","YES",6,7,"yes","no"
"936","maker_00168323_RA",6,"6","YES",2,2,"no","no"
"6552","maker_00170643_RA",6,"6","YES",2,2,"no","no"
"3560","maker_00174436_RA",6,"6","YES",2,2,"no","no"
"1653","mikado.Super_Scaffold_1000004G1556.1",5,"5C","YES",2,2,"no","no"
"892","maker_00168224_RA",6,"6","YES",1,1,"no","no"
"7253","mikado.Super_Scaffold_1000004G2849.1",6,"6","YES",1,1,"no","no"
"9429","maker_00176147_RA",6,"6","YES",2,2,"no","no"
"9337","maker_00175951_RA",6,"6","YES",1,1,"no","no"
"2780","maker_00173032_RB",1,"1","YES",9,9,"no","no"
"6034","maker_00169334_RA",4,"4","YES",1,1,"no","no"
"3061","maker_00173564_RA",5,"5C","YES",3,3,"no","no"
"5787","maker_00168732_RA",6,"6","YES",3,3,"no","no"
"8898","maker_00175227_RA",6,"6","YES",4,4,"no","no"
"7109","maker_00171904_RG",1,"1","NO",11,12,"yes","no"
"4924","maker_00166323_RA",4,"4","YES",3,3,"no","no"
"307","maker_00166763_RA",6,"6","YES",3,3,"no","no"
"4190","maker_00175672_RE",1,"1","NO",9,18,"yes","no"
"8284","maker_00174124_RA",3,"3","YES",1,1,"no","no"
"901","maker_00168246_RA",6,"6","YES",2,2,"no","no"
"5265","maker_00167325_RA",6,"6","YES",3,3,"no","no"
"3154","maker_00173693_RF",3,"3","NO",5,5,"no","no"
"3747","maker_00174776_RD",1,"1","NO",9,11,"yes","no"
"8685","maker_00174820_RA",3,"3","YES",2,2,"no","no"
"9025","maker_00175456_RD",1,"1","NO",9,10,"yes","no"
"1194","maker_00169087_RA",6,"6","YES",3,3,"no","no"
"2934","maker_00173344_RA",5,"5F","YES",1,1,"no","no"
"6913","maker_00171423_RB",3,"3","YES",5,9,"yes","no"
"4610","maker_00176533_RB",3,"3","NO",5,6,"yes","no"
"8609","maker_00174663_RD",3,"3","NO",8,8,"no","no"
"9237","maker_00175816_RB",1,"1","NO",4,5,"yes","no"
"2889","maker_00173262_RB",1,"1","NO",14,16,"yes","no"
"8456","maker_00174407_RA",1,"1","YES",7,7,"no","yes"
"1700","maker_00170350_RA",6,"6","YES",4,4,"no","no"
"1026","maker_00168664_RA",6,"6","YES",2,2,"no","no"
"5383","maker_00167678_RA",1,"1","YES",3,3,"no","no"
"2377","mikado.Super_Scaffold_1000004G2760.1",3,"3","NO",3,4,"yes","no"
"370","maker_00166908_RA",6,"6","YES",3,3,"no","no"
"1904","maker_00170848_RA",6,"6","YES",2,2,"no","no"
"1483","maker_00169761_RF",3,"3","NO",8,8,"no","no"
"9437","maker_00176154_RE",3,"3","NO",10,15,"yes","no"
"4780","maker_00176912_RA",3,"3","YES",12,14,"yes","no"
"8602","maker_00174661_RB",3,"3","NO",7,10,"yes","no"
"4124","maker_00175516_RA",5,"5C","YES",5,5,"no","no"
"2613","maker_00172650_RA",3,"3","YES",4,4,"no","no"
"3390","maker_00174160_RE",3,"3","NO",5,6,"yes","no"
"3634","maker_00174602_RJ",1,"1","NO",2,4,"yes","no"
"8026","maker_00173664_RE",3,"3","NO",16,17,"yes","no"
"9765","maker_00176738_RA",6,"6","YES",5,5,"no","no"
"1841","maker_00170692_RA",6,"6","YES",4,4,"no","no"
"2074","maker_00171252_RC",3,"3","YES",2,4,"yes","no"
"1664","maker_00170253_RA",5,"5C","YES",2,2,"no","no"
"2240","maker_00171633_RA",6,"6","YES",3,3,"no","no"
"3740","maker_00174771_RA",3,"3","YES",1,3,"yes","no"
"7876","maker_00173381_RA",5,"5C","YES",2,2,"no","no"
"8082","maker_00173767_RA",3,"3","YES",2,2,"no","no"
"9645","maker_00176544_RA",6,"6","YES",3,3,"no","no"
"6588","mikado.Super_Scaffold_1000004G1914.1",6,"6","YES",1,1,"no","no"
"4261","maker_00175823_RA",6,"6","YES",2,2,"no","no"
"1397","maker_00169595_RA",6,"6","YES",1,1,"no","no"
"1178","maker_00169038_RA",6,"6","YES",1,1,"no","no"
"5225","maker_00167221_RA",6,"6","YES",3,3,"no","no"
"3354","maker_00174038_RH",1,"1","NO",3,5,"yes","no"
"2029","maker_00171141_RA",3,"3","YES",2,2,"no","no"
"7216","maker_00172090_RA",5,"5C","YES",2,2,"no","no"
"7166","maker_00172009_RI",3,"3","NO",11,11,"no","no"
"921","maker_00168291_RA",6,"6","YES",6,6,"no","no"
"6925","maker_00171471_RA",6,"6","YES",1,1,"no","no"
"8823","maker_00175095_RA",4,"4","YES",2,2,"no","no"
"5284","maker_00167367_RA",6,"6","YES",1,1,"no","no"
"6975","maker_00171572_RA",3,"3","YES",10,10,"no","no"
"7433","maker_00172473_RA",6,"6","YES",3,3,"no","no"
"5683","maker_00168507_RA",6,"6","YES",3,3,"no","no"
"5448","maker_00167886_RA",6,"6","YES",4,4,"no","no"
"122","maker_00166270_RA",6,"6","YES",1,1,"no","no"
"7869","maker_00173371_RB",1,"1","YES",7,7,"no","no"
"512","maker_00167318_RA",6,"6","YES",4,4,"no","no"
"1744","maker_00170451_RA",6,"6","YES",2,2,"no","no"
"7160","maker_00172009_RC",3,"3","NO",15,16,"yes","no"
"1468","maker_00169725_RA",4,"4","YES",1,1,"no","no"
"4882","maker_00166208_RA",6,"6","YES",1,1,"no","no"
"5121","maker_00166978_RA",6,"6","YES",5,5,"no","no"
"4178","maker_00175651_RF",1,"1","NO",4,6,"yes","no"
"7430","maker_00172466_RH",3,"3","NO",1,2,"yes","no"
"4507","maker_00176343_RA",1,"1","YES",4,5,"yes","no"
"966","maker_00168463_RA",6,"6","YES",4,4,"no","no"
"5831","mikado.Super_Scaffold_1000004G969.1",6,"6","YES",1,1,"no","no"
"2852","maker_00173197_RA",3,"3","YES",3,3,"no","no"
"2918","maker_00173301_RI",3,"3","NO",1,2,"yes","no"
"5714","maker_00168566_RA",6,"6","YES",4,4,"no","no"
"378","maker_00166926_RA",6,"6","YES",2,2,"no","no"
"285","maker_00166703_RA",6,"6","YES",1,1,"no","no"
"3743","maker_00174771_RD",3,"3","NO",1,4,"yes","no"
"5122","maker_00166980_RA",6,"6","YES",1,1,"no","no"
"3305","maker_00173952_RA",3,"3","YES",6,8,"yes","no"
"2819","maker_00173103_RC",1,"1","NO",7,8,"yes","no"
"1976","maker_00171004_RA",6,"6","YES",1,1,"no","no"
"775","maker_00167974_RA",6,"6","YES",4,4,"no","no"
"7310","maker_00172260_RE",3,"3","YES",7,7,"no","no"
"9591","maker_00176434_RG",1,"1","NO",16,17,"yes","no"
"7185","maker_00172041_RA",6,"6","YES",1,1,"no","no"
"4169","maker_00175624_RA",3,"3","YES",1,1,"no","no"
"5185","maker_00167145_RA",6,"6","YES",2,2,"no","no"
"6648","maker_00170774_RH",3,"3","NO",3,4,"yes","no"
"5549","maker_00168210_RA",6,"6","YES",5,5,"no","no"
"9745","maker_00176697_RA",5,"5C","YES",3,3,"no","no"
"1160","maker_00169001_RA",6,"6","YES",2,2,"no","no"
"3100","maker_00173628_RF",1,"1","NO",7,9,"yes","no"
"9965","maker_00235146_RI",3,"3","NO",6,8,"yes","no"
"1722","maker_00170420_RB",3,"3","NO",1,4,"yes","no"
"7502","maker_00172557_RA",6,"6","YES",3,3,"no","no"
"1031","maker_00168687_RA",6,"6","YES",2,2,"no","no"
"7788","mikado.Super_Scaffold_1000004G3528.1",6,"6","YES",1,1,"no","no"
"3345","maker_00174031_RC",3,"3","NO",16,17,"yes","no"
"140","maker_00166330_RA",6,"6","YES",7,7,"no","no"
"7807","mikado.Super_Scaffold_1000004G3553.1",5,"5F","YES",1,1,"no","no"
"7101","maker_00171902_RA",6,"6","YES",2,2,"no","no"
"9974","maker_00235177_RA",6,"6","YES",4,4,"no","no"
"8712","maker_00174879_RA",4,"4","YES",1,1,"no","no"
"7297","maker_00172248_RB",1,"1","NO",20,20,"no","no"
"7955","maker_00173552_RA",5,"5F","YES",1,1,"no","no"
"6488","maker_00170480_RA",6,"6","YES",4,4,"no","no"
"134","maker_00166311_RA",6,"6","YES",4,4,"no","no"
"5974","maker_00169220_RA",6,"6","YES",2,2,"no","no"
"4132","maker_00175544_RC",3,"3","NO",4,6,"yes","no"
"3708","maker_00174714_RC",3,"3","NO",13,13,"no","no"
"7022","maker_00171642_RI",3,"3","NO",4,5,"yes","no"
"2525","maker_00172421_RA",6,"6","YES",4,4,"no","no"
"3745","maker_00174776_RB",1,"1","NO",8,9,"yes","no"
"4092","maker_00175430_RE",3,"3","NO",2,3,"yes","no"
"6036","maker_00169339_RA",3,"3","YES",5,5,"no","no"
"7471","maker_00172529_RA",6,"6","YES",4,4,"no","no"
"9100","maker_00175564_RA",3,"3","YES",4,4,"no","no"
"9906","maker_00234981_RA",6,"6","YES",7,7,"no","no"
"3845","maker_00174930_RA",5,"5C","YES",2,2,"no","no"
"6394","mikado.Super_Scaffold_1000004G1573.1",5,"5F","YES",1,1,"no","no"
"6455","maker_00170386_RA",6,"6","YES",4,4,"no","no"
"3702","maker_00174711_RB",1,"1","YES",18,18,"no","no"
"9968","maker_00235157_RA",5,"5C","YES",2,2,"no","no"
"8918","maker_00175268_RA",4,"4","YES",4,4,"no","no"
"2976","maker_00173419_RC",1,"1","YES",3,3,"no","no"
"6351","maker_00170161_RA",6,"6","YES",1,1,"no","no"
"8786","mikado.Super_Scaffold_1000004G5468.1",5,"5F","YES",1,1,"no","no"
"8398","maker_00174361_RA",5,"5C","YES",1,3,"yes","no"
"5442","mikado.Super_Scaffold_1000004G821.1",6,"6","YES",1,1,"no","no"
"631","maker_00167616_RA",6,"6","YES",1,1,"no","no"
"1206","maker_00169116_RA",6,"6","YES",4,4,"no","no"
"569","maker_00167447_RA",6,"6","YES",2,2,"no","no"
"207","maker_00166543_RC",3,"3","NO",10,10,"no","no"
"3936","maker_00175065_RE",1,"1","NO",20,22,"yes","no"
"2143","mikado.Super_Scaffold_1000004G2337.5",5,"5C","YES",3,3,"no","no"
"4466","maker_00176277_RA",4,"4","YES",3,3,"no","no"
"2407","maker_00172103_RF",3,"3","NO",6,6,"no","no"
"3754","maker_00174797_RA",1,"1","NO",19,20,"yes","no"
"1492","maker_00169777_RA",5,"5C","YES",3,3,"no","no"
"5333","maker_00167516_RA",6,"6","YES",1,1,"no","no"
"8196","maker_00173979_RC",6,"6","NO",2,4,"yes","no"
"5182","maker_00167133_RA",6,"6","YES",3,3,"no","no"
"9556","mikado.Super_Scaffold_1000004G6514.1",3,"3","YES",9,11,"yes","no"
"6241","maker_00169897_RA",6,"6","YES",1,1,"no","no"
"935","maker_00168321_RA",4,"4","YES",1,1,"no","no"
"4893","maker_00166240_RA",6,"6","YES",2,2,"no","no"
"7336","maker_00172304_RA",6,"6","YES",1,1,"no","no"
"9196","maker_00175729_RA",1,"1","YES",5,6,"yes","no"
"3457","maker_00174300_RD",1,"1","NO",9,10,"yes","no"
"3489","maker_00174352_RA",6,"6","YES",3,3,"no","no"
"5690","maker_00168519_RA",6,"6","YES",3,3,"no","no"
"8858","maker_00175151_RC",3,"3","NO",1,4,"yes","no"
"8829","maker_00175115_RB",2,"2C","NO",14,14,"no","no"
"7288","mikado.Super_Scaffold_1000004G2908.1",5,"5F","YES",1,1,"no","no"
"5557","maker_00168231_RA",6,"6","YES",2,2,"no","no"
"8637","mikado.Super_Scaffold_1000004G5143.2",5,"5C","NO",1,2,"yes","no"
"3830","maker_00174910_RC",5,"5C","NO",5,7,"yes","no"
"1318","maker_00169409_RA",5,"5A","YES",3,3,"no","yes"
"5750","maker_00168632_RA",6,"6","YES",5,5,"no","no"
"408","maker_00166985_RA",6,"6","YES",6,6,"no","no"
"5073","maker_00166796_RA",6,"6","YES",1,1,"no","no"
"3433","maker_00174270_RB",3,"3","NO",5,6,"yes","no"
"2011","maker_00171092_RD",3,"3","YES",4,4,"no","no"
"716","maker_00167811_RA",4,"4","YES",3,3,"no","no"
"4242","maker_00175753_RJ",1,"1","NO",5,6,"yes","no"
"1486","maker_00169761_RI",3,"3","NO",8,8,"no","no"
"816","maker_00168064_RA",6,"6","YES",6,6,"no","no"
"8814","maker_00175087_RA",1,"1","YES",10,11,"yes","no"
"238","maker_00166600_RA",4,"4","YES",1,1,"no","no"
"7582","maker_00172719_RA",5,"5C","YES",5,5,"no","no"
"2850","maker_00173187_RA",6,"6","YES",4,4,"no","no"
"5607","maker_00168354_RA",6,"6","YES",5,5,"no","no"
"363","maker_00166896_RA",6,"6","YES",1,1,"no","no"
"5188","maker_00167149_RA",6,"6","YES",2,2,"no","no"
"1393","maker_00169586_RA",3,"3","YES",1,1,"no","no"
"3848","maker_00174942_RA",4,"4","YES",4,4,"no","no"
"7062","maker_00171772_RA",6,"6","YES",5,5,"no","no"
"8124","mikado.Super_Scaffold_1000004G4139.1",5,"5F","YES",1,1,"no","no"
"3019","maker_00173470_RF",3,"3","NO",1,2,"yes","no"
"6620","maker_00170757_RA",3,"3","YES",14,14,"no","no"
"4956","mikado.Super_Scaffold_1000004G297.1",6,"6","YES",1,1,"no","no"
"8866","mikado.Super_Scaffold_1000004G5575.1",6,"6","YES",1,1,"no","no"
"8756","maker_00174952_RG",3,"3","NO",5,9,"yes","no"
"493","maker_00167262_RA",4,"4","YES",2,2,"no","no"
"8785","mikado.Super_Scaffold_1000004G5461.1",5,"5F","YES",1,1,"no","no"
"3356","maker_00174038_RJ",1,"1","NO",3,4,"yes","no"
"6660","maker_00170825_RA",1,"1","YES",3,3,"no","yes"
"5404","maker_00167741_RA",4,"4","YES",2,2,"no","no"
"6618","mikado.Super_Scaffold_1000004G1947.1",5,"5F","YES",1,1,"no","no"
"2450","maker_00172243_RA",6,"6","YES",2,2,"no","no"
"1739","maker_00170446_RA",6,"6","YES",1,1,"no","no"
"2639","maker_00172732_RA",4,"4","YES",5,5,"no","no"
"1417","maker_00169627_RA",6,"6","YES",1,1,"no","no"
"3709","maker_00174714_RD",3,"3","NO",13,13,"no","no"
"9447","maker_00176158_RB",2,"2C","YES",1,2,"yes","no"
"9103","maker_00175581_RA",6,"6","YES",1,1,"no","no"
"2105","maker_00171314_RA",6,"6","YES",2,2,"no","no"
"9991","maker_00235206_RC",3,"3","NO",1,3,"yes","no"
"3130","maker_00173659_RA",6,"6","YES",2,2,"no","no"
"3095","maker_00173628_RA",1,"1","YES",8,9,"yes","no"
"4304","maker_00175917_RA",6,"6","YES",1,1,"no","no"
"7466","maker_00172519_RA",6,"6","YES",1,1,"no","no"
"5685","maker_00168512_RA",6,"6","YES",4,4,"no","no"
"1268","mikado.Super_Scaffold_1000004G1115.3",5,"5C","NO",2,4,"yes","no"
"3110","maker_00173631_RC",1,"1","NO",12,13,"yes","no"
"2306","maker_00171869_RC",3,"3","YES",5,6,"yes","no"
"9587","maker_00176434_RC",1,"1","NO",17,18,"yes","no"
"9864","maker_00234876_RA",6,"6","YES",5,5,"no","no"
"2842","maker_00173160_RB",3,"3","NO",3,5,"yes","no"
"2180","maker_00171500_RA",6,"6","YES",2,2,"no","no"
"9252","maker_00175839_RA",6,"6","YES",2,2,"no","no"
"9670","maker_00176586_RA",5,"5C","NO",3,4,"yes","no"
"1636","maker_00170150_RJ",3,"3","NO",7,7,"no","no"
"9325","maker_00175934_RC",3,"3","NO",13,14,"yes","no"
"5584","maker_00168310_RA",6,"6","YES",6,6,"no","no"
"3483","maker_00174337_RA",1,"1","YES",3,5,"yes","no"
"9574","mikado.Super_Scaffold_1000004G6549.1",5,"5F","YES",1,1,"no","no"
"3329","mikado.Super_Scaffold_1000004G4298.2",6,"6","YES",4,5,"yes","no"
"4590","maker_00176505_RF",1,"1","YES",9,11,"yes","no"
"541","maker_00167394_RA",6,"6","YES",1,1,"no","no"
"2862","maker_00173215_RA",6,"6","YES",1,1,"no","no"
"5829","maker_00168838_RA",4,"4","YES",3,3,"no","no"
"2226","maker_00171598_RA",6,"6","YES",2,2,"no","no"
"4208","maker_00175697_RA",6,"6","YES",3,3,"no","no"
"7636","maker_00172842_RA",6,"6","YES",5,5,"no","no"
"8044","maker_00173683_RB",5,"5C","YES",1,2,"yes","no"
"3109","maker_00173631_RB",1,"1","NO",12,14,"yes","no"
"5937","maker_00169156_RA",6,"6","YES",3,3,"no","no"
"5820","maker_00168815_RA",6,"6","YES",1,1,"no","no"
"5083","maker_00166849_RA",6,"6","YES",2,2,"no","no"
"3121","maker_00173643_RA",6,"6","YES",3,3,"no","no"
"7345","maker_00172307_RH",3,"3","NO",3,5,"yes","no"
"9445","maker_00176157_RD",4,"4","NO",3,4,"yes","no"
"5647","maker_00168427_RA",6,"6","YES",6,6,"no","no"
"7774","maker_00173131_RE",3,"3","NO",4,4,"no","no"
"3319","maker_00173970_RA",6,"6","YES",1,1,"no","no"
"8351","maker_00174289_RA",6,"6","YES",1,1,"no","no"
"1691","maker_00170319_RA",6,"6","YES",2,2,"no","no"
"624","maker_00167584_RA",6,"6","YES",8,8,"no","no"
"522","maker_00167343_RA",6,"6","YES",2,2,"no","no"
"5926","maker_00169132_RA",6,"6","YES",12,12,"no","no"
"4790","maker_00176918_RA",4,"4","YES",2,2,"no","no"
"2021","maker_00171119_RA",6,"6","YES",3,3,"no","no"
"2223","maker_00171591_RA",6,"6","YES",2,2,"no","no"
"7649","maker_00172859_RA",1,"1","YES",6,8,"yes","no"
"2405","maker_00172103_RC",3,"3","NO",4,6,"yes","no"
"8152","maker_00173896_RB",1,"1","NO",9,10,"yes","no"
"2763","maker_00172991_RA",4,"4","YES",6,6,"no","no"
"4482","maker_00176300_RD",1,"1","NO",14,17,"yes","no"
"2580","maker_00172590_RA",6,"6","YES",2,2,"no","no"
"8061","maker_00173724_RA",4,"4","YES",5,6,"yes","no"
"8818","maker_00175087_RF",3,"3","NO",9,9,"no","no"
"6369","maker_00170204_RA",6,"6","YES",3,3,"no","no"
"4499","maker_00176322_RA",3,"3","YES",1,2,"yes","no"
"3153","maker_00173693_RE",3,"3","NO",5,5,"no","no"
"1922","maker_00170897_RA",4,"4","YES",3,3,"no","no"
"3366","mikado.Super_Scaffold_1000004G4385.1",5,"5C","YES",1,2,"yes","no"
"6626","maker_00170757_RG",3,"3","NO",14,14,"no","no"
"29","maker_00166040_RA",6,"6","YES",3,3,"no","no"
"6658","mikado.Super_Scaffold_1000004G1998.1",6,"6","YES",1,1,"no","no"
"6679","mikado.Super_Scaffold_1000004G2014.1",5,"5F","YES",1,1,"no","no"
"2064","maker_00171234_RA",4,"4","YES",2,2,"no","no"
"8028","maker_00173664_RG",3,"3","NO",16,16,"no","no"
"9586","maker_00176434_RB",1,"1","NO",17,18,"yes","no"
"2340","maker_00171964_RA",4,"4","YES",5,5,"no","no"
"1824","maker_00170645_RA",4,"4","YES",3,3,"no","no"
"9344","maker_00175982_RA",6,"6","YES",2,2,"no","no"
"5917","maker_00169088_RA",6,"6","YES",5,5,"no","no"
"9929","maker_00235059_RA",6,"6","YES",4,4,"no","no"
"7652","maker_00172861_RA",6,"6","YES",1,1,"no","no"
"4025","maker_00175284_RA",6,"6","YES",6,6,"no","no"
"2089","maker_00171277_RA",6,"6","YES",1,1,"no","no"
"4681","maker_00176657_RG",2,"2C","NO",4,5,"yes","no"
"3360","maker_00174049_RA",3,"3","YES",2,2,"no","no"
"2750","maker_00172962_RA",1,"1","NO",8,8,"no","no"
"1081","maker_00168807_RA",4,"4","YES",2,2,"no","no"
"2725","maker_00172910_RF",3,"3","NO",10,11,"yes","no"
"4506","maker_00176342_RD",3,"3","NO",2,2,"no","no"
"3919","maker_00175053_RC",4,"4","NO",12,12,"no","no"
"5307","maker_00167454_RA",6,"6","YES",3,3,"no","no"
"2662","maker_00172780_RE",3,"3","NO",2,4,"yes","no"
"1004","maker_00168590_RA",4,"4","YES",2,2,"no","no"
"3498","maker_00174363_RA",5,"5C","YES",2,2,"no","no"
"4143","maker_00175562_RA",3,"3","YES",4,5,"yes","yes"
"3538","maker_00174405_RA",4,"4","YES",2,2,"no","no"
"6564","maker_00170666_RD",1,"1","YES",5,6,"yes","no"
"2146","maker_00171414_RA",3,"3","YES",2,3,"yes","yes"
"809","maker_00168044_RA",6,"6","YES",5,5,"no","no"
"9837","maker_00234811_RB",5,"5C","NO",1,2,"yes","no"
"1329","maker_00169442_RA",6,"6","YES",3,3,"no","no"
"9997","maker_00235213_RD",3,"3","NO",2,2,"no","no"
"5326","maker_00167502_RA",6,"6","YES",7,7,"no","no"
"4806","maker_00165998_RA",6,"6","YES",2,2,"no","no"
"6515","mikado.Super_Scaffold_1000004G1776.1",6,"6","YES",1,1,"no","no"
"4215","maker_00175698_RH",3,"3","NO",31,34,"yes","no"
"6991","maker_00171613_RA",6,"6","YES",1,1,"no","no"
"957","maker_00168425_RA",6,"6","YES",5,5,"no","no"
"9312","maker_00175899_RB",3,"3","NO",1,2,"yes","no"
"4695","maker_00176688_RD",1,"1","NO",2,3,"yes","no"
"7551","maker_00172646_RA",6,"6","YES",2,2,"no","no"
"6141","maker_00169590_RA",6,"6","YES",1,1,"no","no"
"468","maker_00167161_RA",6,"6","YES",1,1,"no","no"
"1226","maker_00169174_RA",6,"6","YES",4,4,"no","no"
"1232","maker_00169185_RA",6,"6","YES",2,2,"no","no"
"6172","maker_00169708_RA",6,"6","YES",7,7,"no","no"
"5156","maker_00167075_RA",6,"6","YES",4,4,"no","no"
"9217","maker_00175755_RG",2,"2C","NO",2,2,"no","no"
"280","maker_00166696_RA",4,"4","YES",1,1,"no","no"
"9902","maker_00234964_RA",4,"4","YES",3,3,"no","no"
"6161","maker_00169670_RA",6,"6","YES",2,2,"no","no"
"534","maker_00167377_RA",6,"6","YES",2,2,"no","no"
"8904","maker_00175248_RA",6,"6","YES",2,2,"no","no"
"4350","maker_00176033_RA",6,"6","YES",2,2,"no","no"
"6392","maker_00170242_RA",6,"6","YES",1,1,"no","no"
"2953","maker_00173385_RA",6,"6","YES",2,2,"no","no"
"9927","maker_00235052_RA",6,"6","YES",5,5,"no","no"
"3569","maker_00174473_RA",6,"6","YES",2,2,"no","no"
"6195","mikado.Super_Scaffold_1000004G1274.1",5,"5C","YES",1,2,"yes","no"
"6789","maker_00171103_RA",6,"6","YES",1,1,"no","no"
"5935","maker_00169152_RA",4,"4","YES",1,1,"no","no"
"4335","maker_00176005_RA",6,"6","YES",1,1,"no","no"
"7623","maker_00172787_RH",1,"1","NO",13,15,"yes","no"
"8142","maker_00173874_RA",4,"4","YES",1,1,"no","no"
"9514","maker_00176272_RC",2,"2C","NO",10,11,"yes","no"
"7151","maker_00171992_RA",5,"5C","YES",5,5,"no","no"
"6769","maker_00171068_RA",3,"3","YES",5,5,"no","no"
"3000","maker_00173452_RD",3,"3","NO",3,5,"yes","no"
"8181","mikado.Super_Scaffold_1000004G4258.1",6,"6","YES",1,1,"no","no"
"3094","maker_00173621_RF",3,"3","NO",3,5,"yes","no"
"3367","maker_00174077_RA",5,"5C","YES",6,6,"no","no"
"9299","maker_00175885_RG",3,"3","NO",11,13,"yes","no"
"6170","maker_00169701_RA",6,"6","YES",1,1,"no","no"
"7289","maker_00172234_RA",6,"6","YES",2,2,"no","no"
"6288","maker_00170008_RA",6,"6","YES",1,1,"no","no"
"7232","maker_00172129_RB",3,"3","NO",1,2,"yes","no"
"3564","maker_00174460_RA",3,"3","YES",2,2,"no","no"
"3945","maker_00175072_RC",1,"1","NO",4,5,"yes","no"
"2049","maker_00171188_RA",6,"6","YES",1,1,"no","no"
"6157","maker_00169660_RA",4,"4","YES",1,1,"no","no"
"1144","maker_00168959_RA",6,"6","YES",2,2,"no","no"
"5844","maker_00168877_RA",6,"6","YES",5,5,"no","no"
"2652","maker_00172764_RB",5,"5C","NO",2,3,"yes","no"
"5856","maker_00168914_RA",6,"6","YES",3,3,"no","no"
"3038","maker_00173493_RD",3,"3","NO",6,6,"no","no"
"4997","maker_00166497_RA",6,"6","YES",1,1,"no","no"
"1338","maker_00169474_RA",4,"4","YES",3,3,"no","no"
"5450","maker_00167894_RA",6,"6","YES",4,4,"no","no"
"9228","mikado.Super_Scaffold_1000004G6037.1",6,"6","YES",1,1,"no","no"
"5447","maker_00167881_RA",6,"6","YES",1,1,"no","no"
"5737","maker_00168604_RA",6,"6","YES",2,2,"no","no"
"7332","maker_00172296_RA",4,"4","YES",5,5,"no","no"
"2756","maker_00172975_RA",3,"3","YES",2,2,"no","no"
"1398","maker_00169596_RA",6,"6","YES",1,1,"no","no"
"7256","maker_00172152_RA",6,"6","YES",2,2,"no","no"
"6249","maker_00169923_RA",6,"6","YES",2,2,"no","no"
"2570","maker_00172554_RA",6,"6","YES",2,2,"no","no"
"7980","maker_00173583_RF",3,"3","NO",14,15,"yes","no"
"2898","maker_00173270_RC",5,"5C","NO",7,10,"yes","no"
"429","maker_00167025_RA",6,"6","YES",4,4,"no","no"
"6060","maker_00169385_RA",3,"3","YES",6,6,"no","no"
"3786","maker_00174852_RD",1,"1","NO",9,10,"yes","no"
"1491","maker_00169776_RA",6,"6","YES",2,2,"no","no"
"7157","maker_00172006_RA",5,"5C","YES",3,3,"no","no"
"6579","maker_00170695_RA",6,"6","YES",5,5,"no","no"
"3716","maker_00174723_RB",1,"1","NO",7,8,"yes","no"
"2680","maker_00172820_RA",6,"6","YES",6,6,"no","no"
"3734","maker_00174747_RA",1,"1","YES",18,19,"yes","no"
"4176","maker_00175649_RA",6,"6","YES",2,2,"no","no"
"9448","maker_00176161_RA",6,"6","YES",2,2,"no","no"
"9485","maker_00176221_RC",3,"3","NO",4,4,"no","no"
"9893","maker_00234937_RD",3,"3","NO",5,5,"no","no"
"7681","maker_00172944_RA",3,"3","YES",3,3,"no","no"
"2051","maker_00171192_RA",6,"6","YES",3,3,"no","no"
"2677","maker_00172809_RC",3,"3","NO",9,9,"no","no"
"1811","maker_00170578_RA",5,"5A","YES",2,2,"no","yes"
"1801","maker_00170551_RA",6,"6","YES",2,2,"no","no"
"4664","maker_00176642_RE",3,"3","NO",11,13,"yes","no"
"3252","maker_00173867_RA",1,"1","YES",4,4,"no","no"
"8375","maker_00174334_RG",3,"3","NO",3,3,"no","no"
"9062","maker_00175492_RB",3,"3","NO",5,7,"yes","no"
"391","maker_00166953_RA",6,"6","YES",3,3,"no","no"
"7098","mikado.Super_Scaffold_1000004G2655.1",6,"6","YES",1,1,"no","no"
"6704","maker_00170922_RA",6,"6","YES",5,5,"no","no"
"3903","maker_00175032_RA",3,"3","YES",2,2,"no","no"
"8583","maker_00174626_RD",3,"3","NO",11,12,"yes","no"
"9598","mikado.Super_Scaffold_1000004G6631.1",5,"5F","YES",1,1,"no","no"
"5446","maker_00167879_RA",6,"6","YES",2,2,"no","no"
"459","maker_00167138_RA",4,"4","YES",2,2,"no","no"
